id;partnerid;wpkenn;isin;wptyp;risiko;beobachten;estEarning
867;867;;;Anleihe;0.0;1;0
882;882;;;Anleihe;0.0;1;0
941;941;;;Fonds;0.0;1;0
963;963;;;Anleihe;0.0;1;0
967;967;;;Anleihe;0.0;1;0
968;968;;;Fonds;0.0;1;0
970;970;;;Fonds;0.0;1;0
971;971;;;Fonds;0.0;1;0
975;975;;;Discount;0.0;1;0
976;976;;;Discount;0.0;1;0
977;977;;;Discount;0.0;1;0
978;978;;;Optionschein;0.0;1;0
979;979;;;Discount;0.0;1;0
980;980;;;Zertifikat;0.0;1;0
987;987;;;Optionschein;0.0;1;0
990;990;;;Discount;0.0;1;0
992;992;;;Anleihe;0.0;1;0
993;993;;;Discount;0.0;1;0
996;996;;;Zertifikat;0.0;1;0
1001;1001;;;Fonds;0.0;1;0
1002;1002;;;Anleihe;0.0;1;0
1008;1008;;;Aktie;0.0;1;0
1035;1035;;;Fonds;0.0;1;0
1220;1220;;;Optionschein;0.0;1;0
1243;1243;798372;;Fonds;0.0;0;33
1256;1256;;;Aktie;0.0;1;0
1257;1257;;;Fonds;0.0;1;0
1258;1258;;;Optionschein;0.0;1;0
1259;1259;;;Optionschein;0.0;1;0
1260;1260;;;Optionschein;0.0;1;0
1262;1262;;;Optionschein;0.0;1;0
1263;1263;;;Optionschein;0.0;1;0
1264;1264;;;Aktie;0.0;1;0
1265;1265;;;Aktie;0.0;1;0
1266;1266;;;Optionschein;0.0;1;0
1268;1268;;;Fonds;0.0;1;0
1269;1269;;;Zertifikat;0.0;1;0
1270;1270;;;Fonds;0.0;1;0
1271;1271;;;Fonds;0.0;1;0
1272;1272;;;Anleihe;0.0;1;0
1273;1273;;;Anleihe;0.0;1;0
1274;1274;;;Fonds;0.0;1;0
1275;1275;;;Fonds;0.0;1;0
1276;1276;;;ETF;0.0;1;0
1277;1277;;;Discount;0.0;1;0
1278;1278;;;Discount;0.0;1;0
1279;1279;;;Discount;0.0;1;0
1281;1281;;;Anleihe;0.0;1;0
1282;1282;;;Discount;0.0;1;0
1283;1283;;;Discount;0.0;1;0
1284;1284;;;Discount;0.0;1;0
1285;1285;;;Discount;0.0;1;0
1286;1286;;;Optionschein;0.0;1;0
1288;1288;;;Optionschein;0.0;1;0
1289;1289;;;Optionschein;0.0;1;0
1290;1290;;;Aktie;0.0;1;0
1291;1291;;;Aktie;0.0;1;0
1292;1292;;;Zertifikat;0.0;1;0
1293;1293;;;Zertifikat;0.0;1;0
1294;1294;;;Discount;0.0;1;0
1295;1295;;;Discount;0.0;1;0
1296;1296;;;Zertifikat;0.0;1;0
1297;1297;;;Optionschein;0.0;1;0
1298;1298;;;Optionschein;0.0;1;0
1299;1299;;;Optionschein;0.0;1;0
1300;1300;;;Optionschein;0.0;1;0
1301;1301;;;Aktie;0.0;1;0
1302;1302;;;Optionschein;0.0;1;0
1303;1303;;;Optionschein;0.0;1;0
1304;1304;;;Optionschein;0.0;1;0
1305;1305;;;Optionschein;0.0;1;0
1306;1306;;;Discount;0.0;1;0
1307;1307;;;Discount;0.0;1;0
1310;1310;;;Optionschein;0.0;1;0
1311;1311;;;Optionschein;0.0;1;0
1312;1312;;;Discount;0.0;1;0
1318;1318;;;Discount;0.0;1;0
1319;1319;HLB1YS;;Anleihe;0.0;1;0
1320;1320;HLB1EL;;Anleihe;0.0;1;0
1321;1321;HLB1KS;;Anleihe;0.0;1;0
1327;1327;A0RL81;DE000A0YBRY0;ETF;0.0;1;0
1329;1329;ETFL20;DE000ETFL201;ETF;0.0;1;0
1330;1330;ETFL35;DE000ETFL359;ETF;0.0;1;0
1331;1331;ETFL11;DE000ETFL110;ETF;0.0;1;0
1338;1338;PB1XVJ;;Discount;0.0;1;0
1379;1379;PS2AZG;DE000PS2AZG0;Discount;0.0;1;0
1400;1400;PB5V0U;;Discount;0.0;1;0
1468;1468;578580;DE0005785802;Aktie;0.0;1;120
1522;1522;PB8BJ0;DE000PB8BJ01;Discount;0.0;1;0
1538;1538;PB8BJ4;DE000PB8BJ43;Discount;0.0;1;0
1540;1540;A2E4R0;DE000A2E4R04;Aktie;0.0;1;0
1562;1562;A2GS5A;DE000A2GS5A4;Aktie;0.0;1;0
1567;1567;ETFL23;DE000ETFL235;ETF;0.0;1;0
1568;1568;ETFL06;DE000ETFL060;ETF;0.0;1;130
1594;1594;PS2A63;DE000PS2A636;Discount;0.0;1;0
1611;1611;ETF001;LU0378438732;ETF;0.0;1;0
1677;1677;BAY1BR;DE000BAY1BR7;Aktie;0.0;1;0
1680;1680;PR01VD;DE000PR01VD5;Discount;0.0;1;0
1701;1701;LYX0AG;FR0010315770;ETF;0.0;1;0
1719;1719;ETFL50;DE000ETFL508;ETF;0.0;0;28
1746;1746;PP7YF0;DE000PP7YF09;Discount;0.0;1;0
1748;1748;PZ3Y68;DE000PZ3Y684;Discount;0.0;1;0
1753;1753;PZ3Y7E;DE000PZ3Y7E5;Discount;0.0;1;0
1762;1762;ETF750;DE000ETF7508;ETF;0.0;1;0
1770;1770;LED01V;DE000LED01V2;Aktie;0.0;1;0
1773;1773;HZ1BNJ;;Optionschein;1.0;0;0
1823;1823;A0MW0M;;ETF;1.0;0;3
1837;1837;ENER6Y;;Aktie;1.0;0;0
1853;1853;PX4FNN;;Discount;1.0;0;0
1887;1887;846744;;Index;1.0;0;0
1933;1933;PF572V;;Optionschein;3.0;0;0
1934;1934;PF5723;;Optionschein;3.0;0;0
1941;1941;PF572E;;Optionschein;3.0;0;0
1947;1947;PX6QS3;;Optionschein;3.0;0;0
1948;1948;PF573L;;Optionschein;3.0;0;0
1982;1982;PF8XJC;;Aktie;3.0;0;0
1983;1983;HR8XA1;;Aktie;3.0;0;0
2005;2005;A0F5UK;;ETF;3.0;0;0
