id;btag;wpid;kurs
216;2002-01-17;183;42.77
217;2002-02-17;183;42.66
218;2002-02-17;164;88.90
219;2002-02-17;143;47.84
221;2002-03-04;143;45.81
222;2002-03-04;142;41.50
224;2002-03-15;183;43.57
225;2002-03-15;164;89.56
226;2002-03-15;143;45.46
227;2002-03-15;142;41.48
228;2002-04-17;183;42.50
229;2002-04-17;164;87.74
230;2002-04-17;143;45.71
231;2002-04-17;1268;42.51
232;2002-04-24;164;87.76
233;2002-04-27;183;41.66
234;2002-05-15;164;86.42
235;2002-05-15;143;45.69
236;2002-05-15;183;41.70
237;2002-06-17;164;75.20
238;2002-06-17;183;37.21
239;2002-06-17;143;46.48
240;2002-06-19;1268;37.21
241;2002-07-17;164;68.51
242;2002-07-17;143;46.92
243;2002-07-17;183;33.86
246;2002-08-16;1268;31.66
247;2002-08-16;183;33.97
248;2002-08-16;164;66.46
249;2002-08-16;143;48.08
250;2002-08-28;143;48.09
251;2002-09-04;139;98.32
252;2002-09-16;143;48.43
253;2002-09-16;183;32.81
254;2002-09-16;164;64.29
255;2002-09-25;1265;66.92
256;2002-09-25;139;89.64
257;2002-09-25;131;9.84
258;2002-10-15;143;48.43
259;2002-10-15;164;61.83
260;2002-10-15;183;31.25
261;2002-10-17;1268;31.32
262;2002-11-07;139;96.51
263;2002-11-18;183;32.20
264;2002-11-18;164;63.69
265;2002-11-18;143;48.71
266;2002-12-11;169;8.50
267;2002-12-16;183;31.04
268;2002-12-16;164;61.22
269;2002-12-16;143;49.33
270;2002-12-16;1268;30.97
273;2002-12-30;119;0.08
274;2003-01-02;119;0.10
275;2003-01-15;164;61.22
276;2003-01-15;143;49.78
277;2003-01-15;183;31.21
280;2003-02-17;143;50.68
281;2003-02-17;183;28.58
282;2003-02-17;164;55.47
283;2003-02-17;1268;28.58
286;2003-03-03;143;48.89
287;2003-03-03;142;42.65
288;2003-03-17;143;48.83
289;2003-03-17;164;51.46
290;2003-03-17;183;27.38
291;2003-04-03;126;2.23
292;2003-04-04;126;2.83
293;2003-04-04;171;53.34
294;2003-04-10;127;5.59
295;2003-04-12;173;5.75
296;2003-04-15;164;57.32
297;2003-04-15;127;5.10
298;2003-04-15;171;53.09
299;2003-04-15;182;26.35
300;2003-04-15;1268;29.44
301;2003-04-16;127;4.53
302;2003-04-19;20;38.54
303;2003-04-20;164;56.24
304;2003-05-15;164;56.90
305;2003-05-15;171;54.29
306;2003-05-15;182;26.17
309;2003-06-16;171;55.60
310;2003-06-16;164;59.41
311;2003-06-16;1268;30.14
312;2003-06-16;182;27.32
314;2003-07-16;171;54.85
315;2003-07-16;164;60.56
316;2003-07-16;182;28.10
318;2003-08-07;134;3.55
319;2003-08-11;1268;30.72
320;2003-08-11;183;30.83
321;2003-08-12;134;3.90
322;2003-08-15;164;61.91
323;2003-08-18;171;53.94
324;2003-08-18;1268;31.51
325;2003-08-18;182;28.83
333;2003-09-08;138;1.98
334;2003-09-09;138;2.36
337;2003-09-15;182;28.99
